Nr.,Wohnbauträger,Projektname,Adresse,Link
14,Haslehner,"Silberweiß 25, Amstetten",3300 Amstetten,https://www.haslehner.net/projekte/silberweiss-25-amstetten/
15,Haslehner,"rmg56 - Rotenmühlgasse 56, 1120 Wien","Rotenmühlgasse 56, 1120 Wien",https://www.haslehner.net/projekte/rmg56-rotenmuehlgasse-56-1120-wien/
16,Haslehner,"Hüttelbergstraße 73, 1140 Wien","Hüttelbergstraße 73, 1140 Wien",https://www.haslehner.net/projekte/huettelbergstrasse-73-1140-wien/
17,Haslehner,W4 Wallern a.d.T.,4702 Wallern,https://www.haslehner.net/projekte/w4-wallern-adt/
18,Haslehner,"Martinstraße 86, 1180 Wien","Martinstraße 86, 1180 Wien",https://www.haslehner.net/projekte/martinstrasse-86-1180-wien/
19,Haslehner,Wohnen 4712 2.0 - Michaelnbach,4712 Michaelnbach,https://www.haslehner.net/projekte/wohnen-4712-20-michaelnbach/
20,Haslehner,"Moserstraße 25C, 5020 Salzburg","Moserstraße 25C, 5020 Salzburg",https://www.haslehner.net/projekte/moserstrasse-25c-5020-salzburg/
21,Haslehner,München Stockdorf,2131 München,https://www.haslehner.net/projekte/muenchen-stockdorf/
22,Haslehner,"Conrad von Hötzendorf-Platz 3A, 2500 Baden","Conrad von Hötzendorf-Platz 3A, 2500 Baden",https://www.haslehner.net/projekte/conrad-von-hoetzendorf-platz-3a-2500-baden/
23,Haslehner,Käutzlgasse Salzburg,5020 Salzburg,https://www.haslehner.net/projekte/kaeutzlgasse-salzburg/
24,Haslehner,Wohnen für Generationen 4,4070 Pupping,https://www.haslehner.net/projekte/wohnen-fuer-generationen-4/
25,Haslehner,AGNES & LEOPOLD – Stadt Land Gut,3400 Klosterneuburg,https://www.haslehner.net/projekte/agnes-leopold-stadt-land-gut/
26,Haslehner,Ski & Panorama Living - Saalbach-Hinterglemm,5753 Saalbach-Hinterglemm,https://www.haslehner.net/projekte/ski-panorama-living-saalbach-hinterglemm/
